latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.96348,-99.42668,299.01,0.48,0.48,2022-05-08,0748,N,nominal,2.0NRT,287.92,1.03,N
18.94737,-99.36656,317.86,0.48,0.48,2022-05-08,0748,N,nominal,2.0NRT,287.76,3.13,N
18.50478,-95.97548,347.9,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,296.8,7.93,N
18.50418,-95.97116,329.51,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,295.4,2.51,N
18.52094,-96.11958,320.45,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,296.42,1.88,N
18.50059,-95.97171,330.75,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,295.34,3.29,N
19.06263,-100.54256,310.03,0.57,0.52,2022-05-08,0748,N,nominal,2.0NRT,291.57,1.74,N
18.43694,-95.59251,310.54,0.44,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.98,1.24,N
18.20365,-94.00842,326.13,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.07,1.59,N
18.51004,-96.14813,306.99,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,295.94,1.53,N
18.50945,-96.14374,314.71,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,296.01,1.53,N
18.50582,-96.14429,328.55,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,295.74,1.53,N
18.50642,-96.14869,311.9,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,295.27,1.53,N
18.50955,-96.14598,327.3,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,296.95,2.96,N
18.50593,-96.14653,332.16,0.46,0.39,2022-05-08,0748,N,nominal,2.0NRT,295.74,4.21,N
19.06351,-100.54322,309.44,0.57,0.52,2022-05-08,0748,N,nominal,2.0NRT,291.51,2.32,N
18.06738,-93.31049,331,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.93,3.12,N
17.63689,-90.64935,318.78,0.42,0.38,2022-05-08,0748,N,nominal,2.0NRT,296.14,0.93,N
18.06406,-93.31104,317.82,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.24,1.79,N
17.63343,-90.64999,316.78,0.42,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.96,0.95,N
18.81841,-98.85498,314.29,0.44,0.46,2022-05-08,0748,N,nominal,2.0NRT,289.9,2.74,N
18.04986,-93.37296,332.66,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.89,4.34,N
17.8974,-92.48975,332.97,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,300.09,10.3,N
17.89682,-92.48613,308.36,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.41,10.3,N
17.89409,-92.49033,334.86,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,297.74,23.8,N
18.13724,-94.07948,305.48,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,294.85,0.86,N
17.88026,-92.48902,327.47,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,298.01,2.21,N
17.87695,-92.4896,327.21,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.53,2.21,N
18.75638,-98.80868,313.87,0.44,0.46,2022-05-08,0748,N,nominal,2.0NRT,289.78,1.83,N
